Module Name,Module Type,Port Name,Direction,Width,Index,Comment Source,Comment 
core,Top_Level,i_clk,INPUT,1,-,module port,DO NOT MODIFY!!!
core,Top_Level,i_rst_n,INPUT,1,-,-,-
core,Top_Level,o_i_addr,OUTPUT,32,[31:0],-,-
core,Top_Level,i_i_inst,INPUT,32,[31:0],-,-
core,Top_Level,o_d_we,OUTPUT,1,-,-,-
core,Top_Level,o_d_addr,OUTPUT,32,[31:0],-,-
core,Top_Level,o_d_wdata,OUTPUT,32,[31:0],-,-
core,Top_Level,i_d_rdata,INPUT,32,[31:0],-,-
core,Top_Level,o_status,OUTPUT,2,[1:0],-,-
core,Top_Level,o_status_valid,OUTPUT,1,-,-,-
